created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Tue Jan 02 16:10:40 +0000 2024,1.74E+18,"Dijual sepatu aerostreet slip on ukuran 43. Jual 90rb aja. New yah, baru dibuka paket aja. Dijual karna kekecilan. Cod area jogja. Bisa kirim lewat shopee/tokopedia.  *Bukan barang preloved #wts #aerostreet #jual #sepatu #preloved #vans #Shopee #diskon #Japan #Jogja https://t.co/3M2YUjmvrl",0,0,0,0,in,1.15E+18,1.74E+18,safaaz_,https://twitter.com/safaaz_/status/1742216848400437702
Tue Jan 02 10:46:54 +0000 2024,1.74E+18,Lago diskon 85â„… buruan sebelum kehabisan promonya.  #Promotion #promo #diskon #handphone #kabelcharger  https://t.co/OK2yRQeizv,0,0,0,0,in,8.06E+17,1.74E+18,ibmdi78,https://twitter.com/ibmdi78/status/1742135369859219662
Tue Jan 02 10:22:31 +0000 2024,1.74E+18,ðŸ¥³ Spesial Promo Awal Tahun ðŸ¥³  Yuk borong Kawat Las Nikko Steel di Hi Tools! Bulan Januari 2024 ini ada promo loh ðŸ¤‘ Segera order di Hi Tools Bekasi &amp  Cibubur atau order online di https://t.co/yi3NWTU019  #HiTools #promo #diskon #belanja #shopping #nikkosteel https://t.co/fJykNoFTNe,0,1,0,0,in,1.59E+18,1.74E+18,hitoolsofficial,https://twitter.com/hitoolsofficial/status/1742129235903590730
Tue Jan 02 09:29:04 +0000 2024,1.74E+18,#BeliLokal di TikTok Shop sekarang lagi banyak promonya nih VaressiansðŸ˜Peak day promo 1.1 New Year Saleâœ¨  Get your favorite produk https://t.co/OcPBFN1arM   #Promo #Diskon #RacunTikTok https://t.co/EMXcB3H0WV,0,0,0,0,in,1.25E+18,1.74E+18,VaresseOfficial,https://twitter.com/VaresseOfficial/status/1742115781973074051
Tue Jan 02 04:31:26 +0000 2024,1.74E+18,Lazada Crazy Deal &amp  Lazflash Extra Jam 12  https://t.co/ooqvYjYWRt  #flashsale #promo #diskon #lazada https://t.co/GWf80VA55z,0,1,0,0,en,1347365923,1.74E+18,promzcuan,https://twitter.com/promzcuan/status/1742040880050270248
Tue Jan 02 00:21:37 +0000 2024,1.74E+18,Rekomendasi dress kece!  Cek harga promo : https://t.co/HZcEnxdNh3  #racunshopee #fashioncewe #ootdcewe #outfitcewe #stylecewe #outfitrekomendasi #outfitinfo #dailyuse #ootdindonesia #ootdceweindo #flashsale #diskon https://t.co/RwhsWz6T32,0,0,0,1,in,1.69E+18,1.74E+18,outfitinfo,https://twitter.com/outfitinfo/status/1741978015482220620
Mon Jan 01 23:34:44 +0000 2024,1.74E+18,Outfit Referensi!  Jersey : https://t.co/atbHSepROO Celana : https://t.co/NHVJgnEoa2 Tas : https://t.co/AaV1s1nK4F Sepatu : https://t.co/cBdopROfJN  #racunshopee #fashioncowo #ootdcowo #outfitcowo #stylecowo #outfitrekomendasi #outfitinfo #dailyuse #flashsale #diskon https://t.co/OjrXdY5VVu,0,0,0,1,in,1.69E+18,1.74E+18,outfitinfo,https://twitter.com/outfitinfo/status/1741966215525130732
Mon Jan 01 16:25:31 +0000 2024,1.74E+18,Lazada Lazflash Extra 2 Januari 2024  https://t.co/vRcs7NETat  #flashsale #promo #diskon #lazada https://t.co/dFb85IxaDd,0,1,0,0,in,1347365923,1.74E+18,promzcuan,https://twitter.com/promzcuan/status/1741858200633380895
Mon Jan 01 15:49:09 +0000 2024,1.74E+18,Tas palomino bag Klaim vouchernya  Diskon 65%  #zonauang #zonajajan #rekomendasishopee #diskon https://t.co/XMNKWwL6Ps,0,1,0,0,in,1.50E+18,1.74E+18,diskonanyuk,https://twitter.com/diskonanyuk/status/1741849047340892357
Mon Jan 01 13:46:00 +0000 2024,1.74E+18,Wonderly Body Brightening Package  Paket Wonderly ini berisi: 1. Wonderly Brightening Serum Body Lotion 300 ml 2. Wonderly Brightening Serum Exfoliating Lotion Mode 300 ml  #wonderly #wardah #sale #promo #diskon #promosi #skincare #bodylotion #lotion #exfoliating #serum https://t.co/901kxwsg2j,0,0,0,0,en,7.13E+17,1.74E+18,Kahf_Wardah,https://twitter.com/Kahf_Wardah/status/1741818054403846300
Mon Jan 01 12:53:33 +0000 2024,1.74E+18,Celana cargo wanita highwaist kekinian Cek di https://t.co/CKJWxA4hAD  Masih bnyak diskon awal tahun #1.1 #shopeehaul  #ootd #HappyNewYear2024  #diskon #cipung https://t.co/YO5dt9Htii,1,0,0,1,in,1.69E+18,1.74E+18,ectstore,https://twitter.com/ectstore/status/1741804857579938079
Mon Jan 01 10:31:25 +0000 2024,1.74E+18,Lazada Lazflash Extra Jam 6  https://t.co/2IGkkkT0qn  #flashsale #promo #diskon #lazada https://t.co/Cf9kPUmKbl,0,1,0,0,in,1347365923,1.74E+18,promzcuan,https://twitter.com/promzcuan/status/1741769088375079206
Mon Jan 01 09:42:00 +0000 2024,1.74E+18,Wonderly Double Combo Face Serum Package  Paket ini berisi: 1. Wonderly Wonderly Advanced Brightening Face Serum 15 ml 2. Wonderly Acne &amp  Brightening Treatment Serum 15 ml  #wonderly #wardah #sale #promo #diskon #promosi #skincare #faceserum #acneserum #acne #serum #brightening https://t.co/50AT9Ul25Z,0,0,0,0,en,7.13E+17,1.74E+18,Kahf_Wardah,https://twitter.com/Kahf_Wardah/status/1741756649499398182
Mon Jan 01 06:48:08 +0000 2024,1.74E+18,Lazada Crazy Deal &amp  Lazflash Extra Jam 2  https://t.co/cwvIHoFQtl  #flashsale #promo #diskon #lazada https://t.co/qDxTEoLOJi,0,1,0,0,en,1347365923,1.74E+18,promzcuan,https://twitter.com/promzcuan/status/1741712895443153019
Mon Jan 01 06:13:12 +0000 2024,1.74E+18,[HELP RT] â€¼ï¸WTS â€¼ï¸ want to sell preloved baju (kebanyakan baru dipakai sekali) 8k-50k âœ… Ada yang bermerk âœ… Beli borongan ada subsidi ongkir âœ… ðŸ“Dom Bogor / DepokðŸ“ Cusss DM~  Model : BB 47kg &amp  TB 160cm #preloved #bajumurah #zonauang  #diskon #baju,0,1,0,0,in,8.82E+17,1.74E+18,yourxnim,https://twitter.com/yourxnim/status/1741704103598993512
Mon Jan 01 04:53:08 +0000 2024,1.74E+18,Kemungkinan Ada Lazada Crazy Deal Jam 12 https://t.co/oiWkthwH2w #flashsale #promo #diskon #lazada https://t.co/zbirtGygAb,0,1,0,0,in,1347365923,1.74E+18,promzcuan,https://twitter.com/promzcuan/status/1741683957098491922
Mon Jan 01 04:39:00 +0000 2024,1.74E+18,Wonderly Double Combo Body Lotion Package  Paket Wonderly ini berisi: Wonderly Brightening Serum Body Lotion 300 ml [2 pcs]  #wonderly #wardah #sale #promo #diskon #promosi #skincare #lotion #bodylotion https://t.co/icw8ydXlYd,0,0,0,0,en,7.13E+17,1.74E+18,Kahf_Wardah,https://twitter.com/Kahf_Wardah/status/1741680397178568738
Mon Jan 01 04:08:17 +0000 2024,1.74E+18,info yg jual tiket dufan murah gais #dufan #tiketmurah #diskon #dufanmurah,0,2,0,0,in,1.67E+18,1.74E+18,Raraneta28,https://twitter.com/Raraneta28/status/1741672667605057890
Mon Jan 01 03:04:06 +0000 2024,1.74E+18,Lazada Lazflash Extra Jam 10  https://t.co/Vm7Cx5FOUC  #flashsale #promo #diskon #lazada https://t.co/46Ekl5BVmF,0,1,0,0,in,1347365923,1.74E+18,promzcuan,https://twitter.com/promzcuan/status/1741656517244522728
Mon Jan 01 01:05:43 +0000 2024,1.74E+18,Rekomendasi kemeja motif!  Cek harga promo : https://t.co/Gr8lEZVhOm  #racunshopee #fashioncewe #ootdcewe #outfitcewe #stylecewe #outfitrekomendasi #outfitinfo #dailyuse #ootdindonesia #ootdceweindo #flashsale #diskon https://t.co/Fj6xwAJKY0,0,0,0,1,in,1.69E+18,1.74E+18,outfitinfo,https://twitter.com/outfitinfo/status/1741626722838339631
Mon Jan 01 01:04:11 +0000 2024,1.74E+18,Outfit Referensi!  Shirt : https://t.co/5vKAAqEKKC Celana : https://t.co/GFSIb9unVH Topi : https://t.co/czo7zxej28 Sepatu : https://t.co/9L0OIoh4P3  #racunshopee #fashioncowo #ootdcowo #outfitcowo #stylecowo #outfitrekomendasi #outfitinfo #dailyuse #flashsale #diskon https://t.co/ICwEJe09Tk,0,0,0,1,in,1.69E+18,1.74E+18,outfitinfo,https://twitter.com/outfitinfo/status/1741626336530358599
Mon Jan 01 00:34:00 +0000 2024,1.74E+18,Wonderly Brightening Face Serum &amp  Body Lotion Package  Paket Wonderly ini terdiri dari : 1. Wonderly Advanced Brightening Face Serum 15 ml 2. Wonderly Brightening Serum Body Lotion 300 ml  #wonderly #wardah #sale #promo #diskon #promosi #skincare #lotion #bodylotion #faceserum https://t.co/sy9dBAdkUv,0,0,0,0,en,7.13E+17,1.74E+18,Kahf_Wardah,https://twitter.com/Kahf_Wardah/status/1741618741333697022
Sun Dec 31 19:26:10 +0000 2023,1.74E+18,#Diskon 50% Precious Skin Thailand Alpha Arbutin 3 Plus Collagen Whitening Soap / Sabun Pemutih Badan / Sabun / Soap 80g dengan harga Rp23.000. Dapatkan di Shopee sekarang! https://t.co/sA2Bgg87PS https://t.co/GkMydNaVnx,0,0,0,0,in,1.63E+18,1.74E+18,Yulilemonade,https://twitter.com/Yulilemonade/status/1741541274115854657
Sun Dec 31 16:34:03 +0000 2023,1.74E+18,Lazada Lazflash Extra 1 Januari 2024  https://t.co/cwaEKxYxsF  #flashsale #promo #diskon #lazada https://t.co/GeyBVRiilG,0,1,0,0,in,1347365923,1.74E+18,promzcuan,https://twitter.com/promzcuan/status/1741497959584530567
Sun Dec 31 11:07:20 +0000 2023,1.74E+18,"Promo cuma sampai 29 Januari 2024. Jadi, ayo langsung klik Remind Me biar gak ketinggalan promonya!  #ATastyAdventurewithPizzaHut #GenshinImpactxPizzaHut #SelaluLebih #LebihHemat #PizzaHutIndonesia #SerunyaKuliner #RestoranTerdekat #RestaurantTerdekat #PizzaHutTerdekat #Diskon",0,0,0,0,in,469203162,1.74E+18,Pizza_HutID,https://twitter.com/Pizza_HutID/status/1741415739607978363
Sun Dec 31 10:00:33 +0000 2023,1.74E+18,"Hi UltranianðŸ¤©  Main games yuk!   3 kata-kata pertama yang kamu lihat, adalah resolusi yang cocok untuk kamu capai di tahun 2024ðŸŽ‰  Komen di bawah yuk, kamu lihat kata apaðŸ‘‡ðŸ»  #PakaiUltraVoucher #promo #diskon #voucher https://t.co/qpbNCxpHj2",0,1,1,2,in,1.18E+18,1.74E+18,ultra_voucher,https://twitter.com/ultra_voucher/status/1741398930460483901
