created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Nov 20 11:18:34 +0000 2023;1726560662229508224;"@sellkpopfess ayyo shalala nih nder, minbel. 50k dapet diskon 10% yuk angkutt https://t.co/yVWMgfy1el";0;0;0;0;in;1533010300194041856;1726559664920551631;mahaebabies;https://twitter.com/mahaebabies/status/1726560662229508224
Mon Nov 20 11:18:09 +0000 2023;1726560555430003074;"@felcixxx @discountfess Ini yang aku bandingin ya kak, kalo loclnlock dikurangin diskon sama cb harganya hampir sama sih sama yg kanan. Tapikan aslinya harganya 200kan jadi agak kecewa sama tumblrnya wkwk https://t.co/vZBxVpC1zH";0;1;0;0;in;1298162255637299204;1726549697832300997;tuubook;https://twitter.com/tuubook/status/1726560555430003074
Mon Nov 20 11:17:28 +0000 2023;1726560386990879014;"promo diskon kebutuhan sehari-hari, promo skincare, dll special 11.11 lazada sale  https://t.co/kWwbGR9PVz";0;0;0;0;in;1195328199208517632;1726560386990879014;flyinggcat;https://twitter.com/flyinggcat/status/1726560386990879014
Mon Nov 20 11:16:59 +0000 2023;1726560262478811217;"diskon promo lazada 11.11 sale Voucher digital McDonald’s Rp. 100.000  https://t.co/KTlRW4dI0y";0;0;0;0;in;1195328199208517632;1726560262478811217;flyinggcat;https://twitter.com/flyinggcat/status/1726560262478811217
Mon Nov 20 11:16:48 +0000 2023;1726560216152768843;"voucher diskon token listrik 100k pln promo lazada 11.11 sale  https://t.co/4fZRcowIHv";0;0;0;0;in;1195328199208517632;1726560216152768843;flyinggcat;https://twitter.com/flyinggcat/status/1726560216152768843
Mon Nov 20 11:16:32 +0000 2023;1726560149232599498;"@Lovaliest Ini seirockya lagi adain diskon 99%";0;0;0;0;in;2602918026;1726559481151283439;Brickledstorm;https://twitter.com/Brickledstorm/status/1726560149232599498
Mon Nov 20 11:16:24 +0000 2023;1726560118983324022;"diskon promo lazada 11.11 sale Bihunku Mix Variant Paket Isi 10  https://t.co/NhtY2RpUHZ";0;0;0;0;in;1195328199208517632;1726560118983324022;flyinggcat;https://twitter.com/flyinggcat/status/1726560118983324022
Mon Nov 20 11:16:17 +0000 2023;1726560087458939384;"@Secouert Seirockya lagi ulang tahun, diskon 99% all menu";0;2;0;0;in;2602918026;1726559481151283439;Brickledstorm;https://twitter.com/Brickledstorm/status/1726560087458939384
Mon Nov 20 11:16:08 +0000 2023;1726560050611986639;"✨ LOTTOL Blender Portabel Elektrik Tanpa Kabel Mini Chopper 250ML✨  Dapatkan sekarang juga di Shopee! 👇                 https://t.co/C3Zb5uVtWq https://t.co/2zjGy13Viw";0;0;0;0;in;1701240802427465728;1726560050611986639;diskondealmania;https://twitter.com/diskondealmania/status/1726560050611986639
Mon Nov 20 11:15:53 +0000 2023;1726559984979448109;"diskon promo lazada 11.11 sale GoFood Voucher Digital   https://t.co/SOJkY9Yg0O";0;0;0;0;in;1195328199208517632;1726559984979448109;flyinggcat;https://twitter.com/flyinggcat/status/1726559984979448109
